Local Authority Asset Number,Street Name,Ward Name,Postcode,Description,Switch Regime,Wattage,Lamp Type,Column Type,Column Height,Heritage Status,Install Date,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Organisation URI,Last Uploaded
244070,HAVERSTOCK HILL,Haverstock,NW3 2BE,O/S NO 82,35/18,61,Generic LED Lighting,Lighting Column,800,Yes,,527866,184676,-0.157362,51.546502,POINT (-0.157362 51.546502),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
246570,ROCHESTER PLACE,Kentish Town South,NW1 9ND,SIDE OF N 15,35/18,36,Generic LED Lighting,Lighting Column,600,No,31/12/2021,529187,184415,-0.138417,51.543856,POINT (-0.138417 51.543856),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
245912,WEEDINGTON ROAD,Gospel Oak,NW5 4NU,O/S 172-194,35/18,39,Generic LED Lighting,Lighting Column,500,No,,528280,185170,-0.151215,51.550848,POINT (-0.151215 51.550848),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
251675,RED LION STREET,Holborn and Covent Garden,WC1V 6LS,"OPP NO 77, J/W HIGH HOLBORN",35/18,42,Generic LED Lighting,Lighting Column,600,No,24/11/2023,530777,181605,-0.116545,51.518237,POINT (-0.116545 51.518237),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
240684,GLASTONBURY STREET,Fortune Green,NW6 1NW,OPP SCHOOL,35/18,42,Generic LED Lighting,Lighting Column,500,No,31/12/2021,524914,185023,-0.199788,51.550281,POINT (-0.199788 51.550281),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
250092,WHIDBORNE STREET,Kings Cross,WC1H 8BZ,S/O NO 98 CROMER ST,35/18,51,Generic LED Lighting,Lighting Column,600,No,10/10/1998,530287,182651,-0.123216,51.527751,POINT (-0.123216 51.527751),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
241373,CANFIELD GARDENS,South Hampstead,NW3 6LP,OPP 2,35/18,56,Generic LED Lighting,Lighting Column,800,No,24/11/2023,526288,184654,-0.180115,51.546659,POINT (-0.180115 51.546659),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
250830,WILD STREET,Holborn and Covent Garden,WC2B 4AN,JUN CTION WITH KEELEY ST,35/18,42,Generic LED Lighting,Lighting Column,500,No,24/11/2023,530539,181195,-0.120125,51.514608,POINT (-0.120125 51.514608),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
241270,BELSIZE ROAD,South Hampstead,NW6 4AS,O/S 79,35/18,83,Generic LED Lighting,Lighting Column,800,No,31/12/2021,526135,184010,-0.182551,51.540906,POINT (-0.182551 51.540906),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
250749,SOUTHAMPTON ROW,Bloomsbury,WC1A 2RA,O/S 25,35/18,116,Generic LED Lighting,Lighting Column,800,No,,530470,181622,-0.12096,51.518461,POINT (-0.12096 51.518461),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
248714,GOODS WAY,Kings Cross,N1C 4DP,50M FROM CAMLEY STREET (SOUTH),35/18,41,LED Street Lights,Lighting Column,800,No,04/01/2024,530057,183359,-0.126269,51.534166,POINT (-0.126269 51.534166),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
242013,WEST END LANE,Kilburn,NW6 2PH,O/S 141,35/18,60,Generic LED Lighting,Lighting Column,800,No,31/12/2021,525422,184367,-0.192699,51.544273,POINT (-0.192699 51.544273),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
1172,CAMDEN PARK ROAD,Camden Square,NW1 9AY,OUTSIDE CHURCH,35/18,110,Generic LED Lighting,Lighting Column,800,No,31/08/2021,529816,184790,-0.129214,51.547082,POINT (-0.129214 51.547082),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
1290,JOCKEY'S FIELDS,Holborn and Covent Garden,WC1R 5BH,J/W THEOBALDS ROAD,35/18,39,Generic LED Lighting,Lighting Column,400,,27/09/2021,530829,181895,-0.115688,51.520832,POINT (-0.115688 51.520832),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
