LSOA Code,Decayed Combined Score
E01000066,2810.8930227756173
E01000067,1491.3246321370805
E01000067,3012.8655712801656
E01000068,1446.070857594916
E01000068,2673.4035134112773
E01000069,1103.9394193099695
E01000069,1682.4335537645936
E01000070,2211.2574992782943
E01000070,5473.663134746771
E01000071,1570.104531624876
E01000071,3138.153304790156
E01000072,2171.0805085317875
E01000072,5009.480932759401
E01000073,1187.4886754487895
E01000073,2395.707529357556
E01000074,1136.0476096461432
E01000074,2098.360016686789
E01000075,2037.7862927992664
E01000075,4113.127774836726
E01000076,1251.8210347891272
E01000076,2407.536810756083
E01000077,1381.0944360030148
E01000077,3172.7742497450026
E01000078,1447.5624185947715
E01000078,3204.2692202230996
E01000079,1044.3608239572297
E01000079,2153.36175888796
E01000080,1148.3106741838963
E01000080,2794.434726195742
E01000081,969.3165520219634
E01000081,1890.060507180908
E01000082,1355.3108485268076
E01000082,3740.2773078403134
E01000083,1077.558946031701
E01000083,2542.2330891532756
E01000084,1589.3338087610623
E01000084,4231.571503370892
E01000085,1370.716233635824
E01000085,3511.789033867623
E01000086,1091.9542349709218
E01000086,2222.0244873096526
E01000087,2766.8673822249657
E01000087,3989.2680143998905
E01000088,1394.2270112353813
E01000088,3653.718263095188
E01000089,1010.1117210414014
E01000089,2285.8750295482723
E01000090,1568.436878090124
E01000090,3795.5053896675104
E01000091,1741.642908904606
E01000091,3623.854856493155
E01000093,1614.8545363382148
E01000093,4222.247267161239
E01000094,1272.0517725121927
E01000094,2639.8604766421936
E01000095,4044.7581764108763
E01000095,13373.99219481532
E01000096,2745.2428756990316
E01000096,4120.18930954113
E01000097,1214.929997402724
E01000097,2917.2693822186507
E01000098,1490.125597979366
E01000098,4762.90496566405
E01000099,1672.0886859626175
E01000099,3234.376039195791
E01000100,1163.9731732175815
E01000100,2270.552983687969
E01000101,1317.0261229788928
E01000101,2635.2424373578756
E01000102,1198.0542637978394
E01000102,2194.9607160567925
E01000103,1117.9064497161162
E01000103,2533.172147514449
E01000104,1394.757317962819
E01000104,4618.170946897554
E01000105,2377.3713877623068
E01000105,8696.420905272173
E01000106,2241.2733538605453
E01000106,5181.24054958125
E01000107,682.199906397741
E01000107,1778.8455456802894
E01000108,1217.4049100199932
E01000108,3590.1434523551907
E01000110,828.2677438346788
E01000110,1620.9926073846354
E01000111,1861.9525099441207
E01000111,4334.93095826924
E01000112,1879.6340967804167
E01000112,3258.5823809842805
E01000113,1621.890788887718
E01000113,4125.565228868181
E01000114,1833.3338089271379
E01000114,5316.550356788084
E01000115,775.2127807270188
E01000115,1123.7165041838725
E01000116,1167.4948011981173
E01000116,1933.2982916039298
E01000117,1152.2714073417997
E01000117,2348.4392088830004
E01000118,1000.7984776108998
E01000118,1787.5780348546239
E01000119,806.4997708012758
E01000119,1421.8981986179565
E01000120,803.9392892372725
E01000120,1187.455218281987
E01000121,645.2277622641328
E01000121,1821.055934815049
E01000122,882.6857420667103
E01000122,1151.7380244696644
E01000123,1054.4027068345465
E01000123,2262.1897560949865
E01000124,1767.7056732380804
E01000124,6459.279586224013
E01000126,1130.6715942332455
E01000126,2388.3679735423734
E01000127,822.5411778556205
E01000127,1926.2047169461755
E01000128,1394.6608340821233
E01000128,2414.1791683772767
E01000129,2216.7299680445453
E01000129,7641.498932899659
E01000130,1008.9013920748256
E01000130,2186.0143609546644
E01000131,1111.5361404782427
E01000131,2197.7638296970226
E01000132,724.8378744053335
E01000132,1915.7558370282331
E01000133,886.8246381972556
E01000133,2076.758341786102
E01000134,762.8464870185711
E01000134,1789.2097741865607
E01000135,1064.2325283487792
E01000135,2351.203988527334
E01000136,1173.8304210531205
E01000136,1901.2783117933166
E01000137,1057.4420009492128
E01000137,2293.3986424063723
E01000138,1179.521669309968
E01000138,2616.5729092629485
E01000139,1022.8856864910053
E01000139,2651.601489450357
E01000140,1063.7334640109975
E01000140,2836.805440007953
E01000141,4322.933741298451
E01000141,12808.089469246834
E01000142,1261.2706452141836
E01000142,2442.922936546665
E01000143,1152.5838395382011
E01000143,3965.473986154844
E01000144,1373.4824632694658
E01000144,4848.535026039859
E01000145,791.6170633858688
E01000145,2054.8708365677735
E01000146,2472.3599547569993
E01000146,11179.719710711322
E01000147,748.7277014467667
E01000147,1600.9030379988496
E01000150,2411.77319354152
E01000150,5213.2426857634755
E01000151,1417.5949275308108
E01000151,4208.375400715451
E01000152,1315.9981023796718
E01000152,2604.958340265332
E01000153,1246.9569421341257
E01000153,3233.870418691921
E01000154,903.7329974477627
E01000154,2199.5185126005435
E01000156,1448.2250505651052
E01000156,2572.1040250290635
E01000157,955.6094821831193
E01000157,1373.2196483247776
E01000158,1248.091086261138
E01000158,2456.9150094788115
E01000159,1472.2910691598486
E01000159,2279.4698143345568
E01000160,2156.3321852956456
E01000160,4515.517245091616
E01000161,1557.9895268050602
E01000161,2844.0777200466746
E01000162,1333.6145127094444
E01000162,3680.522299516169
E01000163,1388.9498957091912
E01000163,2311.2086490071338
E01000164,3032.012589663172
E01000164,9435.776759130142
E01000165,1047.2243913765758
E01000165,1400.2925884480655
E01000166,900.4731460996065
E01000166,1592.1785316389519
E01000167,870.453445216249
E01000167,1880.7892109235281
E01000168,710.5540446031728
E01000168,1226.9874817513635
E01000169,871.3268061838713
E01000169,1294.340487082883
E01000170,1082.1412613250989
E01000170,2729.026024269405
E01000171,2022.98827900163
E01000171,5966.860756601183
E01000172,780.992501079507
E01000172,1336.8573435816586
E01000173,967.7508630181907
E01000173,1530.1660924359217
E01000174,1227.1081983242211
E01000174,3222.0749218291876
E01000175,798.9403698217824
E01000175,1393.7703387430877
E01000176,830.3157107886159
E01000176,1947.0254201850407
E01000177,1065.787931663075
E01000177,2074.9258942210336
E01000178,1328.8641531280552
E01000178,2016.3352142223325
E01000179,895.9226436320045
E01000179,1470.3872668142626
E01000180,758.0186728281152
E01000180,1634.0978851646823
E01000181,1358.638481193136
E01000181,3496.8895459266437
E01000182,1335.971152524825
E01000182,2627.3932178589152
E01000183,799.1440337426272
E01000183,1257.802665116336
E01000184,1296.5307208438373
E01000184,2241.870626819713
E01000185,924.4675656038324
E01000185,1829.394085841141
E01000186,640.6823217821103
E01000186,1016.0690933119848
E01000187,585.0759304812625
E01000187,1585.077440448971
E01000188,923.8545506530859
E01000188,4209.50628111476
E01000189,1207.5383264875272
E01000189,3058.9619934545826
E01000190,694.325924424916
E01000190,1478.4499722156133
